case_id,state,district,project_type,land_area_acres,number_of_landowners,acquisition_stage,number_of_objections,number_of_court_cases,compensation_completed_pct,pending_approvals,days_in_current_stage,approximate_delay_days,notification_3a_date,sanction_date,notification_3d_date,sanction_amount_lakh,land_acquisition_agency,environmental_clearance,forest_clearance,relocation_required,structures_affected,dispute_severity,payment_status,document_verification_status,project_length_km,last_review_days_ago
AH100000,Rajasthan,Jaipur,Highway,7.01,2.0,Award,0.0,0.0,,4.0,80.0,109,2024-03-21,2024-03-08,2024-05-11,4073.0,NHAI,Completed,Completed,Yes,0.0,Low,Partial,Partial,125.08,69.0
AH100001,Punjab,Hoshiarpur,Highway,11.39,3.0,Award,0.0,0.0,65.5,3.0,17.0,80,2025-11-27,2025-03-27,2025-06-17,2690.0,State PWD,Pending,Not Required,No,18.0,None,Pending,Partial,50.6,152.0
AH100002,Uttarakhand,Nainital,Highway,17.61,4.0,Possession,0.0,0.0,93.1,0.0,84.0,71,2025-08-12,2025-05-27,2025-11-02,4010.0,District Administration,Completed,Not Required,No,27.0,Medium,Partial,Pending,70.08,156.0
AH100003,Haryana,Rohtak,Bypass,27.5,12.0,Notification,1.0,0.0,2.2,1.0,20.0,88,2025-01-29,2025-10-21,2025-12-05,1061.0,State PWD,Pending,Completed,Yes,23.0,None,Partial,Complete,56.03,136.0
AH100004,Haryana,Ambala,Road Widening,26.43,15.0,Notification,0.0,0.0,18.2,2.0,19.0,58,2025-01-24,2025-05-29,2025-07-14,1377.0,NHAI,Pending,Not Required,No,9.0,High,Partial,Complete,169.95,139.0
AH100005,Himachal Pradesh,Mandi,Highway,15.31,6.0,Award,1.0,0.0,39.3,2.0,33.0,76,2026-02-11,2024-06-18,2024-09-01,484.0,Special LA Unit,Not Required,Completed,No,4.0,None,Complete,Partial,177.05,91.0
AH100006,Rajasthan,Udaipur,Highway,12.52,7.0,Notification,1.0,0.0,24.2,2.0,11.0,43,2024-03-18,2024-11-26,2025-03-26,3391.0,NHAI,Completed,Pending,Yes,28.0,Low,Complete,Partial,12.19,42.0
AH100007,Uttarakhand,,Bridge,9.06,4.0,Compensation,0.0,1.0,56.9,2.0,68.0,81,2025-09-19,2025-02-03,2025-07-04,3678.0,NHAI,Completed,Not Required,No,4.0,Low,Complete,Complete,74.32,109.0
AH100008,Uttar Pradesh,Agra,Highway,9.67,5.0,Award,1.0,1.0,53.8,1.0,54.0,95,2024-06-30,2026-06-04,2026-09-26,1454.0,State PWD,Completed,Completed,No,13.0,None,Complete,Complete,29.62,179.0
AH100009,Rajasthan,Kota,Highway,6.15,3.0,Possession,1.0,0.0,91.4,0.0,34.0,52,2024-03-25,2025-04-24,2025-08-06,1951.0,NHAI,Completed,Not Required,No,23.0,High,Complete,Partial,53.83,133.0
AH100010,Haryana,Ambala,Highway,8.3,6.0,Compensation,2.0,0.0,74.6,0.0,110.0,96,2025-04-18,2025-07-25,2026-01-01,2868.0,District Administration,Not Required,Pending,No,17.0,None,Partial,Partial,57.72,44.0
AH100011,Himachal Pradesh,Sirmaur,Highway,16.13,5.0,Award,2.0,1.0,65.0,1.0,64.0,93,2026-05-28,2025-10-24,2025-12-18,3790.0,State PWD,Completed,Completed,Yes,8.0,None,Partial,Complete,108.96,53.0
AH100012,Punjab,Bathinda,Bypass,44.23,17.0,Compensation,1.0,0.0,68.3,1.0,67.0,111,2025-10-24,2024-11-22,2025-05-06,1549.0,Special LA Unit,Not Required,Completed,No,26.0,Low,Partial,Complete,37.07,174.0
AH100013,Punjab,Firozpur,Railway,10.51,7.0,Notification,0.0,0.0,16.2,3.0,11.0,63,2025-11-16,2026-05-18,2026-08-02,2467.0,NHAI,Completed,Not Required,No,6.0,None,Complete,Partial,43.65,24.0
AH100014,Punjab,Amritsar,Highway,6.01,5.0,Compensation,2.0,3.0,75.8,0.0,116.0,120,2025-10-07,2025-08-30,2025-11-09,968.0,State PWD,Not Required,Not Required,No,29.0,Low,Partial,Complete,119.98,37.0
AH100015,Punjab,Moga,Bypass,27.22,12.0,Compensation,1.0,0.0,72.0,0.0,,70,2025-12-08,2026-02-02,2026-07-25,4058.0,District Administration,Pending,Not Required,No,3.0,Low,Partial,Complete,109.26,32.0
AH100016,Haryana,Rohtak,Highway,2.18,2.0,Objection,1.0,0.0,41.6,1.0,22.0,82,2025-04-06,2025-11-05,2026-03-11,4373.0,District Administration,Not Required,Pending,Yes,0.0,Low,Complete,Partial,142.85,113.0
AH100017,Rajasthan,Kota,Bypass,28.98,11.0,Notification,1.0,0.0,11.6,1.0,13.0,71,2024-04-25,2025-07-13,2025-10-15,3711.0,State PWD,Completed,Pending,No,13.0,None,Complete,Partial,57.54,70.0
AH100018,Punjab,Patiala,Highway,3.53,2.0,Award,0.0,0.0,43.7,3.0,90.0,106,2026-01-25,2024-01-28,2024-04-16,4086.0,Special LA Unit,Pending,Completed,No,12.0,None,Complete,Complete,38.32,142.0
AH100019,Haryana,Ambala,Highway,20.88,6.0,Award,0.0,0.0,41.5,1.0,77.0,63,2025-02-09,2025-06-09,2025-09-13,3832.0,Special LA Unit,Completed,Pending,Yes,16.0,None,Partial,Partial,32.23,4.0
