state,district,project_type,land_area_acres,number_of_landowners,acquisition_stage,number_of_objections,number_of_court_cases,compensation_completed_pct,pending_approvals,days_in_current_stage,approximate_delay_days,sanction_amount_lakh,land_acquisition_agency,environmental_clearance,forest_clearance,relocation_required,structures_affected,dispute_severity,payment_status,document_verification_status,project_length_km,last_review_days_ago
Rajasthan,Jaipur,Highway,7.01,2.0,Award,0.0,0.0,,4.0,80.0,109,4073.0,NHAI,Completed,Completed,Yes,0.0,Low,Partial,Partial,125.08,69.0
Punjab,Hoshiarpur,Highway,11.39,3.0,Award,0.0,0.0,65.5,3.0,17.0,80,2690.0,State PWD,Pending,Not Required,No,18.0,None,Pending,Partial,50.6,152.0
Uttarakhand,Nainital,Highway,17.61,4.0,Possession,0.0,0.0,93.1,0.0,84.0,71,4010.0,District Administration,Completed,Not Required,No,27.0,Medium,Partial,Pending,70.08,156.0
Haryana,Rohtak,Bypass,27.5,12.0,Notification,1.0,0.0,2.2,1.0,20.0,88,1061.0,State PWD,Pending,Completed,Yes,23.0,None,Partial,Complete,56.03,136.0
Haryana,Ambala,Road Widening,26.43,15.0,Notification,0.0,0.0,18.2,2.0,19.0,58,1377.0,NHAI,Pending,Not Required,No,9.0,High,Partial,Complete,169.95,139.0
Himachal Pradesh,Mandi,Highway,15.31,6.0,Award,1.0,0.0,39.3,2.0,33.0,76,484.0,Special LA Unit,Not Required,Completed,No,4.0,None,Complete,Partial,177.05,91.0
Rajasthan,Udaipur,Highway,12.52,7.0,Notification,1.0,0.0,24.2,2.0,11.0,43,3391.0,NHAI,Completed,Pending,Yes,28.0,Low,Complete,Partial,12.19,42.0
Uttarakhand,,Bridge,9.06,4.0,Compensation,0.0,1.0,56.9,2.0,68.0,81,3678.0,NHAI,Completed,Not Required,No,4.0,Low,Complete,Complete,74.32,109.0
Uttar Pradesh,Agra,Highway,9.67,5.0,Award,1.0,1.0,53.8,1.0,54.0,95,1454.0,State PWD,Completed,Completed,No,13.0,None,Complete,Complete,29.62,179.0
Rajasthan,Kota,Highway,6.15,3.0,Possession,1.0,0.0,91.4,0.0,34.0,52,1951.0,NHAI,Completed,Not Required,No,23.0,High,Complete,Partial,53.83,133.0
