Case ID,State,District,Project Type,Land Area (Acres),Number of Landowners,Acquisition Stage,Number of Objections,Number of Court Cases,Compensation Completed (%),Pending Approvals,Days in Current Stage,Approximate Delay Days,Notification_3A_Date,Sanction_Date,Notification_3D_Date,Sanction_Amount_Lakh,Land_Acquisition_Agency,Environmental_Clearance,Forest_Clearance,Relocation_Required,Structures_Affected,Dispute_Severity,Payment_Status,Document_Verification_Status,Project_Length_Km,Last_Review_Days_Ago
AH100000,Rajasthan,Jaipur,Highway,7.01,2.0,Award,0.0,0.0,,4.0,80.0,109,21-03-2024,08-03-2024,11-05-2024,4073.0,NHAI,Completed,Completed,Yes,0,Low,Partial,Partial,125.08,69
AH100001,Punjab,Hoshiarpur,Highway,11.39,3.0,Award,0.0,0.0,65.5,3.0,17.0,80,27-11-2025,27-03-2025,17-06-2025,2690.0,State PWD,Pending,Not Required,No,18,None,Pending,Partial,50.6,152
AH100002,Uttarakhand,Nainital,Highway,17.61,4.0,Possession,0.0,0.0,93.1,0.0,84.0,71,12-08-2025,27-05-2025,02-11-2025,4010.0,District Administration,Completed,Not Required,No,27,Medium,Partial,Pending,70.08,156
AH100003,Haryana,Rohtak,Bypass,27.5,12.0,Notification,1.0,0.0,2.2,1.0,20.0,88,29-01-2025,21-10-2025,05-12-2025,1061.0,State PWD,Pending,Completed,Yes,23,None,Partial,Complete,56.03,136
AH100004,Haryana,Ambala,Road Widening,26.43,15.0,Notification,0.0,0.0,18.2,2.0,19.0,58,24-01-2025,29-05-2025,14-07-2025,1377.0,NHAI,Pending,Not Required,No,9,High,Partial,Complete,169.95,139
AH100005,Himachal Pradesh,Mandi,Highway,15.31,6.0,Award,1.0,0.0,39.3,2.0,33.0,76,11-02-2026,18-06-2024,01-09-2024,484.0,Special LA Unit,Not Required,Completed,No,4,None,Complete,Partial,177.05,91
AH100006,Rajasthan,Udaipur,Highway,12.52,7.0,Notification,1.0,0.0,24.2,2.0,11.0,43,18-03-2024,26-11-2024,26-03-2025,3391.0,NHAI,Completed,Pending,Yes,28,Low,Complete,Partial,12.19,42
AH100007,Uttarakhand,,Bridge,9.06,4.0,Compensation,0.0,1.0,56.9,2.0,68.0,81,19-09-2025,03-02-2025,04-07-2025,3678.0,NHAI,Completed,Not Required,No,4,Low,Complete,Complete,74.32,109
AH100008,Uttar Pradesh,Agra,Highway,9.67,5.0,Award,1.0,1.0,53.8,1.0,54.0,95,30-06-2024,04-06-2026,26-09-2026,1454.0,State PWD,Completed,Completed,No,13,None,Complete,Complete,29.62,179
AH100009,Rajasthan,Kota,Highway,6.15,3.0,Possession,1.0,0.0,91.4,0.0,34.0,52,25-03-2024,24-04-2025,06-08-2025,1951.0,NHAI,Completed,Not Required,No,23,High,Complete,Partial,53.83,133
AH100010,Haryana,Ambala,Highway,8.3,6.0,Compensation,2.0,0.0,74.6,0.0,110.0,96,18-04-2025,25-07-2025,01-01-2026,2868.0,District Administration,Not Required,Pending,No,17,None,Partial,Partial,57.72,44
AH100011,Himachal Pradesh,Sirmaur,Highway,16.13,5.0,Award,2.0,1.0,65.0,1.0,64.0,93,28-05-2026,24-10-2025,18-12-2025,3790.0,State PWD,Completed,Completed,Yes,8,None,Partial,Complete,108.96,53
AH100012,Punjab,Bathinda,Bypass,44.23,17.0,Compensation,1.0,0.0,68.3,1.0,67.0,111,24-10-2025,22-11-2024,06-05-2025,1549.0,Special LA Unit,Not Required,Completed,No,26,Low,Partial,Complete,37.07,174
AH100013,Punjab,Firozpur,Railway,10.51,7.0,Notification,0.0,0.0,16.2,3.0,11.0,63,16-11-2025,18-05-2026,02-08-2026,2467.0,NHAI,Completed,Not Required,No,6,None,Complete,Partial,43.65,24
AH100014,Punjab,Amritsar,Highway,6.01,5.0,Compensation,2.0,3.0,75.8,0.0,116.0,120,07-10-2025,30-08-2025,09-11-2025,968.0,State PWD,Not Required,Not Required,No,29,Low,Partial,Complete,119.98,37
AH100015,Punjab,Moga,Bypass,27.22,12.0,Compensation,1.0,0.0,72.0,0.0,,70,08-12-2025,02-02-2026,25-07-2026,4058.0,District Administration,Pending,Not Required,No,3,Low,Partial,Complete,109.26,32
AH100016,Haryana,Rohtak,Highway,2.18,2.0,Objection,1.0,0.0,41.6,1.0,22.0,82,06-04-2025,05-11-2025,11-03-2026,4373.0,District Administration,Not Required,Pending,Yes,0,Low,Complete,Partial,142.85,113
AH100017,Rajasthan,Kota,Bypass,28.98,11.0,Notification,1.0,0.0,11.6,1.0,13.0,71,25-04-2024,13-07-2025,15-10-2025,3711.0,State PWD,Completed,Pending,No,13,None,Complete,Partial,57.54,70
AH100018,Punjab,Patiala,Highway,3.53,2.0,Award,0.0,0.0,43.7,3.0,90.0,106,25-01-2026,28-01-2024,16-04-2024,4086.0,Special LA Unit,Pending,Completed,No,12,None,Complete,Complete,38.32,142
AH100019,Haryana,Ambala,Highway,20.88,6.0,Award,0.0,0.0,41.5,1.0,77.0,63,09-02-2025,09-06-2025,13-09-2025,3832.0,Special LA Unit,Completed,Pending,Yes,16,None,Partial,Partial,32.23,4
AH100020,Haryana,Karnal,Bypass,7.97,5.0,Compensation,0.0,1.0,53.0,1.0,124.0,124,26-03-2025,26-04-2024,21-09-2024,4186.0,District Administration,Completed,Completed,No,15,None,Partial,Complete,176.34,128
AH100021,Madhya Pradesh,Jabalpur,Bridge,15.69,9.0,Objection,4.0,0.0,22.9,1.0,25.0,96,29-11-2024,26-06-2025,17-08-2025,2175.0,District Administration,Pending,Completed,No,8,High,Partial,Complete,139.14,155
AH100022,Uttar Pradesh,Meerut,Railway,70.15,27.0,Objection,1.0,0.0,27.3,0.0,101.0,115,13-06-2024,23-09-2025,18-11-2025,1067.0,District Administration,Completed,Pending,No,10,High,Partial,Complete,137.49,129
AH100023,Himachal Pradesh,Kangra,Road Widening,5.86,3.0,Possession,1.0,0.0,91.6,0.0,113.0,70,14-04-2026,05-05-2025,19-07-2025,4807.0,State PWD,Pending,Completed,No,11,None,Complete,Partial,152.18,121
AH100024,Punjab,,Bypass,5.1,4.0,Notification,0.0,0.0,15.8,1.0,51.0,62,04-12-2025,04-10-2024,14-01-2025,61.0,District Administration,Completed,Pending,No,30,Low,Complete,Partial,40.87,164
