feature,feature_value,shap_contribution_days,absolute_contribution_days
days_in_current_stage,38.0,-15.751938948688297,15.751938948688297
pending_approvals,3.0,11.242318007709345,11.242318007709345
number_of_objections,1.0,2.8030662070631265,2.8030662070631265
land_area_acres,13.48,-1.456479808089473,1.456479808089473
acquisition_stage,Compensation,1.2846239329925857,1.2846239329925857
number_of_landowners,4.0,-1.0404003330521474,1.0404003330521474
number_of_court_cases,0.0,-0.7796502350378628,0.7796502350378628
state,Uttarakhand,-0.6903123799020005,0.6903123799020005
forest_clearance,Pending,0.34428652068479326,0.34428652068479326
project_type,Highway,-0.3343079985815449,0.3343079985815449
environmental_clearance,Pending,0.2989299470118577,0.2989299470118577
document_verification_status,Pending,-0.25504059141002045,0.25504059141002045
compensation_completed_pct,78.2,0.21104010093920733,0.21104010093920733
structures_affected,30.0,0.19385185344293088,0.19385185344293088
district,Haridwar,-0.17381596061402282,0.17381596061402282
project_length_km,36.6,-0.1605471397040325,0.1605471397040325
payment_status,Complete,0.051782716171126494,0.051782716171126494
dispute_severity,nan,0.04242068590857963,0.04242068590857963
last_review_days_ago,7.0,-0.029716929650766596,0.029716929650766596
land_acquisition_agency,District Administration,0.025541235098784323,0.025541235098784323
sanction_amount_lakh,4747.0,0.017430387113062436,0.017430387113062436
relocation_required,No,-0.00472591135498651,0.00472591135498651
