feature,mean_absolute_shap_days
days_in_current_stage,16.492025480122873
acquisition_stage,11.780699828121485
pending_approvals,7.216464620531463
number_of_objections,4.896109225118543
land_area_acres,4.84058097868836
project_type,3.5794438453816033
district,3.517666333879476
state,2.3326421056633864
number_of_court_cases,2.32914938787311
number_of_landowners,1.5391765158246855
compensation_completed_pct,0.2317010911227085
forest_clearance,0.2250019402364025
environmental_clearance,0.19475973646843225
document_verification_status,0.13165678359226649
project_length_km,0.1205926827942952
dispute_severity,0.12014773889820304
land_acquisition_agency,0.10898988820777225
structures_affected,0.09708676338184352
payment_status,0.08508293626725257
last_review_days_ago,0.014430477302370112
sanction_amount_lakh,0.011062635807221926
relocation_required,0.010382827246905363
